#,Name,Type,Attack,Defense,HP,Catch,Flee,Fast Moves,Charge Moves
0263,Zigzagoon Galarian Zigzagoon,Dark Normal,58,80,116,50%,20%,"Tackle, Take Down","Body Slam, Dig, Swift, Frustration (Shadow), Return (Purified)"
0264,Linoone,Normal,142,128,186,20%,7%,"Shadow Claw, Tackle","Dig, Grass Knot, Thunder, Frustration (Shadow), Return (Purified)"
0264,Linoone Galarian Linoone,Dark Normal,142,128,186,20%,7%,"Lick, Snarl","Body Slam, Dig, Gunk Shot, Frustration (Shadow), Return (Purified)"
0265,Wurmple,Bug,75,59,128,50%,20%,"Bug Bite, Tackle",Struggle
0266,Silcoon,Bug,60,77,137,25%,9%,"Bug Bite, Poison Sting",Struggle
0267,Beautifly,Bug Flying,189,98,155,12.5%,6%,"Infestation, Struggle Bug","Air Cutter, Bug Buzz, Silver Wind"
0268,Cascoon,Bug,60,77,137,25%,9%,"Bug Bite, Poison Sting",Struggle
0269,Dustox,Bug Poison,98,162,155,12.5%,6%,"Confusion, Struggle Bug","Bug Buzz, Silver Wind, Sludge Bomb"
0270,Lotad,Water Grass,71,77,120,50%,20%,"Razor Leaf, Water Gun","Bubble Beam, Energy Ball"
0271,Lombre,Water Grass,112,119,155,25%,9%,"Bubble, Razor Leaf","Bubble Beam, Grass Knot, Ice Beam"
0272,Ludicolo,Water Grass,173,176,190,12.5%,6%,"Bubble, Razor Leaf","Blizzard, Energy Ball, Hydro Pump, Ice Beam, Leaf Storm, Solar Beam"
0273,Seedot,Grass,71,77,120,50%,20%,"Bullet Seed, Quick Attack","Energy Ball, Foul Play, Grass Knot, Frustration (Shadow), Return (Purified)"
0274,Nuzleaf,Grass Dark,134,78,172,25%,9%,"Feint Attack, Razor Leaf","Foul Play, Grass Knot, Leaf Blade, Frustration (Shadow), Return (Purified)"
0275,Shiftry,Grass Dark,200,121,207,12.5%,6%,"Feint Attack, Razor Leaf, Snarl, Bullet Seed (Community Day)","Foul Play, Hurricane, Leaf Blade, Leaf Tornado, Frustration (Shadow), Return (Purified)"
0276,Taillow,Normal Flying,106,61,120,50%,20%,"Peck, Quick Attack",Aerial Ace
0277,Swellow,Normal Flying,185,124,155,20%,7%,"Steel Wing, Wing Attack","Aerial Ace, Brave Bird, Sky Attack"
0278,Wingull,Water Flying,106,61,120,50%,20%,"Quick Attack, Water Gun","Air Cutter, Ice Beam, Water Pulse"
0279,Pelipper,Water Flying,175,174,155,20%,7%,"Water Gun, Wing Attack","Blizzard, Hurricane, Hydro Pump, Weather Ball - Water"
0280,Ralts,Psychic Fairy,79,59,99,40%,9%,"Charge Beam, Confusion","Disarming Voice, Psyshock, Shadow Sneak, Frustration (Shadow), Return (Purified)"
0281,Kirlia,Psychic Fairy,117,90,116,10%,6%,"Charge Beam, Confusion, Magical Leaf","Disarming Voice, Psychic, Shadow Sneak, Triple Axel, Frustration (Shadow), Return (Purified)"
0282,Gardevoir,Psychic Fairy,237,195,169,5%,5%,"Charge Beam, Charm, Confusion, Magical Leaf","Dazzling Gleam, Psychic, Shadow Ball, Triple Axel, Synchronoise (Community Day), Frustration (Shadow), Return (Purified)"
0282,Gardevoir Mega Gardevoir,Psychic Fairy,326,229,169,5%,5%,,
0283,Surskit,Bug Water,93,87,120,50%,20%,"Bubble, Bug Bite","Aqua Jet, Bubble Beam, Signal Beam"
0284,Masquerain,Bug Flying,192,150,172,20%,7%,"Air Slash, Infestation","Air Cutter, Bubble Beam, Lunge, Ominous Wind, Silver Wind"
0285,Shroomish,Grass,74,110,155,50%,20%,"Bullet Seed, Tackle","Energy Ball, Grass Knot, Seed Bomb"
0286,Breloom,Grass Fighting,241,144,155,20%,7%,"Bullet Seed, Counter","Dynamic Punch, Seed Bomb, Sludge Bomb, Grass Knot (legacy)"
0287,Slakoth,Normal,104,92,155,40%,9%,Yawn,"Body Slam, Brick Break, Night Slash"
0288,Vigoroth,Normal,159,145,190,10%,6%,"Counter, Scratch","Body Slam, Brick Break, Bulldoze"
0289,Slaking,Normal,290,166,284,5%,5%,Yawn,"Earthquake, Hyper Beam, Play Rough, Body Slam (Community Day)"
0290,Nincada,Bug Ground,80,126,104,20%,10%,"Bug Bite, Scratch","Aerial Ace, Bug Buzz, Night Slash"
0291,Ninjask,Bug Flying,199,112,156,10%,7%,"Fury Cutter, Metal Claw","Aerial Ace, Bug Buzz, Shadow Ball"
0292,Shedinja,Bug Ghost,153,73,1,5%,5%,"Bug Bite, Shadow Claw, Struggle Bug (legacy)","Aerial Ace, Dig, Shadow Sneak"
0293,Whismur,Normal,92,42,162,50%,20%,"Astonish, Pound","Disarming Voice, Flamethrower, Stomp, Frustration (Shadow), Return (Purified)"
0294,Loudred,Normal,134,81,197,25%,9%,"Bite, Rock Smash","Disarming Voice, Flamethrower, Stomp, Frustration (Shadow), Return (Purified)"
0295,Exploud,Normal,179,137,232,12.5%,6%,"Astonish, Bite","Boomburst, Crunch, Disarming Voice, Fire Blast, Frustration (Shadow), Return (Purified)"
0296,Makuhita,Fighting,99,54,176,50%,10%,"Rock Smash, Tackle","Cross Chop, Heavy Slam, Low Sweep, Frustration (Shadow), Return (Purified)"
0297,Hariyama,Fighting,209,114,302,20%,6%,"Bullet Punch, Counter","Close Combat, Dynamic Punch, Heavy Slam, Superpower, Frustration (Shadow), Return (Purified)"
0298,Azurill,Normal Fairy,36,71,137,10%,4%,"Bubble, Splash","Body Slam, Bubble Beam, Ice Beam"
0299,Nosepass,Rock,82,215,102,20%,9%,"Rock Throw, Spark","Rock Blast, Rock Slide, Thunderbolt, Frustration (Shadow), Return (Purified)"
0300,Skitty,Normal,84,79,137,50%,10%,"Feint Attack, Tackle","Dig, Disarming Voice, Wild Charge"
0301,Delcatty,Normal,132,127,172,20%,6%,"Charm, Feint Attack, Zen Headbutt","Disarming Voice, Play Rough, Wild Charge"
0302,Sableye,Dark Ghost,141,136,137,20%,7%,"Feint Attack, Shadow Claw","Foul Play, Power Gem, Shadow Sneak, Frustration (Shadow), Return (Purified)"
0302,Sableye Mega Sableye,Dark Ghost,151,216,137,20%,7%,,
0303,Mawile,Steel Fairy,155,141,137,50%,9%,"Astonish, Bite, Fairy Wind, Fire Fang, Ice Fang","Iron Head, Play Rough, Power-Up Punch, Vise Grip, Frustration (Shadow), Return (Purified)"
0304,Aron,Steel Rock,121,141,137,50%,20%,"Metal Claw, Tackle","Body Slam, Iron Head, Rock Tomb, Frustration (Shadow), Return (Purified)"
0305,Lairon,Steel Rock,158,198,155,25%,9%,"Iron Tail, Metal Claw","Body Slam, Heavy Slam, Rock Slide, Rock Tomb, Frustration (Shadow), Return (Purified)"
0306,Aggron,Steel Rock,198,257,172,12.5%,6%,"Dragon Tail, Iron Tail, Smack Down","Heavy Slam, Meteor Beam, Rock Tomb, Stone Edge, Thunder, Frustration (Shadow), Return (Purified)"
0306,Aggron Mega Aggron,Steel,247,331,172,12.5%,6%,,
0307,Meditite,Fighting Psychic,78,107,102,50%,10%,"Confusion, Rock Smash","Ice Punch, Low Sweep, Psyshock"
0308,Medicham,Fighting Psychic,121,152,155,20%,6%,"Counter, Psycho Cut","Dynamic Punch, Ice Punch, Power-Up Punch, Psychic"
0308,Medicham Mega Medicham,Fighting Psychic,205,179,155,20%,6%,,
0309,Electrike,Electric,123,78,120,50%,10%,"Quick Attack, Spark","Discharge, Swift, Thunderbolt, Frustration (Shadow), Return (Purified)"
0310,Manectric,Electric,215,127,172,20%,6%,"Charge Beam, Snarl, Thunder Fang","Flame Burst, Overheat, Psychic Fangs, Thunder, Wild Charge, Frustration (Shadow), Return (Purified)"
0310,Manectric Mega Manectric,Electric,286,179,172,20%,6%,,
0311,Plusle,Electric,167,129,155,30%,9%,"Quick Attack, Spark","Discharge, Grass Knot, Swift, Thunderbolt"
0312,Minun,Electric,147,150,155,30%,9%,"Quick Attack, Spark","Discharge, Grass Knot, Swift, Thunderbolt"
0313,Volbeat,Bug,143,166,163,30%,9%,"Struggle Bug, Tackle","Bug Buzz, Signal Beam, Thunderbolt"
0314,Illumise,Bug,143,166,163,30%,9%,"Struggle Bug, Tackle","Bug Buzz, Dazzling Gleam, Silver Wind"
0315,Roselia,Grass Poison,186,131,137,30%,9%,"Magical Leaf, Poison Jab, Razor Leaf","Dazzling Gleam, Petal Blizzard, Sludge Bomb"
0316,Gulpin,Poison,80,99,172,50%,10%,"Pound, Rock Smash","Gunk Shot, Ice Beam, Sludge"
0317,Swalot,Poison,140,159,225,20%,6%,"Infestation, Mud Shot, Rock Smash","Acid Spray, Gunk Shot, Ice Beam, Sludge Bomb"
0318,Carvanha,Water Dark,171,39,128,50%,10%,"Bite, Snarl","Aqua Jet, Crunch, Poison Fang, Frustration (Shadow), Return (Purified)"
0319,Sharpedo,Water Dark,243,83,172,20%,6%,"Bite, Waterfall","Crunch, Hydro Pump, Poison Fang, Frustration (Shadow), Return (Purified)"
0320,Wailmer,Water,136,68,277,50%,10%,"Splash, Water Gun","Body Slam, Heavy Slam, Water Pulse, Frustration (Shadow), Return (Purified)"
0321,Wailord,Water,175,87,347,20%,6%,"Water Gun, Zen Headbutt","Blizzard, Hyper Beam, Surf, Frustration (Shadow), Return (Purified)"
0322,Numel,Fire Ground,119,79,155,50%,10%,"Ember, Tackle","Bulldoze, Heat Wave, Stomp, Frustration (Shadow), Return (Purified)"
0323,Camerupt,Fire Ground,194,136,172,20%,6%,"Ember, Incinerate, Rock Smash","Earth Power, Earthquake, Overheat, Solar Beam, Frustration (Shadow), Return (Purified)"
0324,Torkoal,Fire,151,203,172,30%,9%,"Ember, Fire Spin","Earthquake, Overheat, Solar Beam"
0325,Spoink,Psychic,125,122,155,50%,10%,"Splash, Zen Headbutt","Mirror Coat, Psybeam, Shadow Ball, Frustration (Shadow), Return (Purified)"
0326,Grumpig,Psychic,171,188,190,20%,6%,"Charge Beam, Extrasensory","Mirror Coat, Psychic, Shadow Ball, Frustration (Shadow), Return (Purified)"
0327,Spinda,Normal,116,116,155,30%,9%,"Psycho Cut, Sucker Punch","Dig, Icy Wind, Rock Tomb"
0328,Trapinch,Ground,162,78,128,40%,9%,"Mud Shot, Struggle Bug","Crunch, Dig, Sand Tomb, Scorching Sands, Frustration (Shadow), Return (Purified)"
0329,Vibrava,Ground Dragon,134,99,137,10%,6%,"Dragon Breath, Mud Shot","Bug Buzz, Bulldoze, Sand Tomb, Scorching Sands, Frustration (Shadow), Return (Purified)"
0330,Flygon,Ground Dragon,205,168,190,5%,5%,"Dragon Tail, Mud Shot","Boomburst, Dragon Claw, Earthquake, Scorching Sands, Stone Edge, Earth Power (Community Day), Frustration (Shadow), Return (Purified)"
0331,Cacnea,Grass,156,74,137,50%,10%,"Poison Sting, Sucker Punch","Brick Break, Grass Knot, Payback, Seed Bomb, Frustration (Shadow), Return (Purified)"
0332,Cacturne,Grass Dark,221,115,172,20%,6%,"Poison Jab, Sucker Punch","Dark Pulse, Dynamic Punch, Grass Knot, Payback, Frustration (Shadow), Return (Purified)"
0333,Swablu,Normal Flying,76,132,128,50%,10%,"Astonish, Peck","Aerial Ace, Disarming Voice, Ice Beam"
0334,Altaria,Dragon Flying,141,201,181,20%,6%,"Dragon Breath, Peck","Dazzling Gleam, Dragon Pulse, Sky Attack, Moonblast (Community Day)"
0334,Altaria Mega Altaria,Dragon Fairy,222,218,181,20%,6%,,
0335,Zangoose,Normal,222,124,177,30%,9%,"Fury Cutter, Shadow Claw","Close Combat, Dig, Night Slash"
0336,Seviper,Poison,196,118,177,30%,9%,"Iron Tail, Poison Jab","Crunch, Poison Fang, Wrap"
0337,Lunatone,Rock Psychic,178,153,207,30%,9%,"Confusion, Rock Throw","Moonblast, Psychic, Rock Slide"
0338,Solrock,Rock Psychic,178,153,207,30%,9%,"Confusion, Rock Throw","Psychic, Rock Slide, Solar Beam"
0339,Barboach,Water Ground,93,82,137,50%,10%,"Mud Shot, Water Gun","Aqua Tail, Ice Beam, Mud Bomb, Frustration (Shadow), Return (Purified)"
0340,Whiscash,Water Ground,151,141,242,20%,6%,"Mud Shot, Water Gun","Blizzard, Mud Bomb, Water Pulse, Frustration (Shadow), Return (Purified)"
0341,Corphish,Water,141,99,125,50%,10%,"Bubble, Rock Smash","Aqua Jet, Bubble Beam, Razor Shell, Vise Grip"
0342,Crawdaunt,Water Dark,224,142,160,20%,6%,"Snarl, Waterfall","Bubble Beam, Crabhammer, Night Slash, Razor Shell, Vise Grip"
0343,Baltoy,Ground Psychic,77,124,120,50%,10%,"Confusion, Extrasensory","Dig, Gyro Ball, Psybeam"
0344,Claydol,Ground Psychic,140,229,155,20%,6%,"Confusion, Extrasensory, Mud-Slap","Earth Power, Earthquake, Gyro Ball, Ice Beam, Psychic, Rock Tomb, Scorching Sands, Shadow Ball"
0345,Lileep,Rock Grass,105,150,165,50%,10%,"Acid, Infestation","Ancient Power, Grass Knot, Mirror Coat, Frustration (Shadow), Return (Purified)"
0346,Cradily,Rock Grass,152,194,200,20%,6%,"Acid, Bullet Seed, Infestation","Bulldoze, Grass Knot, Rock Slide, Stone Edge, Frustration (Shadow), Return (Purified)"
0347,Anorith,Rock Bug,176,100,128,50%,10%,"Scratch, Struggle Bug","Ancient Power, Aqua Jet, Cross Poison, Frustration (Shadow), Return (Purified)"
0348,Armaldo,Rock Bug,222,174,181,20%,6%,"Fury Cutter, Struggle Bug","Cross Poison, Liquidation, Rock Blast, Water Pulse, Frustration (Shadow), Return (Purified)"
0349,Feebas,Water,29,85,85,70%,15%,"Splash, Tackle",Mirror Coat
0350,Milotic,Water,192,219,216,10%,7%,"Dragon Tail, Waterfall","Blizzard, Hyper Beam, Surf"
0351,Castform,Normal,139,139,172,30%,10%,"Hex, Tackle","Energy Ball, Hurricane, Weather Ball - Rock, Weather Ball - Normal"
0351,Castform Sunny Form,Fire,139,139,172,30%,10%,"Ember, Tackle","Fire Blast, Solar Beam, Weather Ball - Fire"
0351,Castform Rainy Form,Water,139,139,172,30%,10%,"Tackle, Water Gun","Hydro Pump, Thunder, Weather Ball - Water"
0351,Castform Snowy Form,Ice,139,139,172,30%,10%,"Powder Snow, Tackle","Blizzard, Ice Beam, Weather Ball - Ice"
0352,Kecleon,Normal,161,189,155,30%,10%,"Lick, Sucker Punch","Aerial Ace, Flamethrower, Foul Play, Ice Beam, Shadow Sneak, Thunder"
0353,Shuppet,Ghost,138,65,127,40%,10%,"Astonish, Feint Attack","Night Shade, Ominous Wind, Shadow Sneak, Frustration (Shadow), Return (Purified)"
0354,Banette,Ghost,218,126,162,20%,7%,"Hex, Shadow Claw","Dazzling Gleam, Shadow Ball, Thunder, Frustration (Shadow), Return (Purified)"
0354,Banette Mega Banette,Ghost,312,160,162,20%,7%,,
0355,Duskull,Ghost,70,162,85,40%,10%,"Astonish, Hex","Night Shade, Ominous Wind, Shadow Sneak, Frustration (Shadow), Return (Purified)"
0356,Dusclops,Ghost,124,234,120,20%,7%,"Feint Attack, Hex","Fire Punch, Ice Punch, Poltergeist, Shadow Punch, Frustration (Shadow), Return (Purified)"
0357,Tropius,Grass Flying,136,163,223,30%,10%,"Air Slash, Razor Leaf","Aerial Ace, Leaf Blade, Stomp"
0358,Chimecho,Psychic,175,170,181,30%,10%,"Astonish, Extrasensory","Energy Ball, Psyshock, Shadow Ball"
0359,Absol,Dark,246,120,163,50%,10%,"Psycho Cut, Snarl","Dark Pulse, Megahorn, Payback, Thunder, Frustration (Shadow), Return (Purified)"
0359,Absol Mega Absol,Dark,314,130,163,50%,10%,,
0360,Wynaut,Psychic,41,86,216,30%,10%,"Counter, Splash",Mirror Coat
0361,Snorunt,Ice,95,95,137,50%,10%,"Hex, Powder Snow","Avalanche, Icy Wind, Shadow Ball"
0362,Glalie,Ice,162,162,190,20%,6%,"Frost Breath, Ice Shard","Avalanche, Gyro Ball, Shadow Ball"
0362,Glalie Mega Glalie,Ice,252,168,190,20%,6%,,
0363,Spheal,Ice Water,95,90,172,50%,10%,"Rock Smash, Water Gun","Aurora Beam, Body Slam, Water Pulse, Frustration (Shadow), Return (Purified)"
0364,Sealeo,Ice Water,137,132,207,25%,7%,"Powder Snow, Water Gun","Aurora Beam, Body Slam, Water Pulse, Frustration (Shadow), Return (Purified)"
0365,Walrein,Ice Water,182,176,242,12.5%,5%,"Frost Breath, Waterfall, Powder Snow (Community Day)","Blizzard, Earthquake, Water Pulse, Icicle Spear (Community Day), Frustration (Shadow), Return (Purified)"
0366,Clamperl,Water,133,135,111,50%,10%,Water Gun,"Body Slam, Ice Beam, Water Pulse"
0367,Huntail,Water,197,179,146,20%,6%,"Bite, Water Gun","Aqua Tail, Crunch, Ice Beam"
0368,Gorebyss,Water,211,179,146,20%,6%,"Confusion, Water Gun","Draining Kiss, Psychic, Water Pulse"
0369,Relicanth,Water Rock,162,203,225,90%,1%,"Water Gun, Zen Headbutt","Ancient Power, Aqua Tail, Hydro Pump"
0370,Luvdisc,Water,81,128,125,30%,10%,"Splash, Water Gun","Aqua Jet, Draining Kiss, Water Pulse"
0371,Bagon,Dragon,134,93,128,40%,9%,"Bite, Ember","Crunch, Flamethrower, Twister, Frustration (Shadow), Return (Purified)"
0372,Shelgon,Dragon,172,155,163,10%,6%,"Dragon Breath, Ember","Dragon Pulse, Flamethrower, Twister, Frustration (Shadow), Return (Purified)"
0373,Salamence,Dragon Flying,277,168,216,5%,5%,"Bite, Dragon Tail, Fire Fang","Draco Meteor, Fire Blast, Hydro Pump, Outrage (Community Day), Frustration (Shadow), Return (Purified)"
0373,Salamence Mega Salamence,Dragon Flying,310,251,216,5%,5%,,
0374,Beldum,Steel Psychic,96,132,120,40%,9%,Take Down,"Struggle, Frustration (Shadow), Return (Purified)"
0375,Metang,Steel Psychic,138,176,155,10%,6%,"Metal Claw, Zen Headbutt","Gyro Ball, Psychic, Psyshock, Frustration (Shadow), Return (Purified)"
0376,Metagross,Steel Psychic,257,228,190,5%,5%,"Bullet Punch, Zen Headbutt","Earthquake, Flash Cannon, Psychic, Meteor Mash (Community Day), Frustration (Shadow), Return (Purified)"
0377,Regirock,Rock,179,309,190,2%,1%,"Lock-On, Rock Smash, Rock Throw","Focus Blast, Stone Edge, Zap Cannon, Earthquake (legacy), Frustration (Shadow), Return (Purified)"
0378,Regice,Ice,179,309,190,2%,1%,"Frost Breath, Lock-On, Rock Smash","Blizzard, Earthquake, Focus Blast, Thunder, Frustration (Shadow), Return (Purified)"
0379,Registeel,Steel,143,285,190,2%,1%,"Lock-On, Metal Claw, Rock Smash","Flash Cannon, Focus Blast, Hyper Beam, Zap Cannon, Frustration (Shadow), Return (Purified)"
0380,Latias,Dragon Psychic,228,246,190,2%,1%,"Charm, Dragon Breath, Zen Headbutt","Outrage, Psychic, Thunder, Mist Ball (legacy), Frustration (Shadow), Return (Purified)"
0380,Latias Mega Latias,Dragon Psychic,289,297,190,2%,1%,,
0381,Latios,Dragon Psychic,268,212,190,2%,1%,"Dragon Breath, Zen Headbutt","Dragon Claw, Psychic, Solar Beam, Luster Purge (legacy), Frustration (Shadow), Return (Purified)"
0381,Latios Mega Latios,Dragon Psychic,335,241,190,2%,1%,,
0382,Kyogre,Water,270,228,205,2%,1%,Waterfall,"Blizzard, Hydro Pump, Surf, Thunder, Origin Pulse (legacy)"
0382,Kyogre Primal Kyogre,Water,353,268,218,2%,1%,,
0383,Groudon,Ground,270,228,205,2%,1%,"Dragon Tail, Mud Shot","Earthquake, Fire Blast, Solar Beam, Fire Punch (legacy), Precipice Blades (legacy)"
0383,Groudon Primal Groudon,Ground Fire,353,268,218,2%,1%,,
0384,Rayquaza,Dragon Flying,284,170,213,2%,1%,"Air Slash, Dragon Tail","Aerial Ace, Ancient Power, Outrage, Breaking Swipe (legacy), Dragon Ascent (legacy), Hurricane (legacy)"
0384,Rayquaza Mega Rayquaza,Dragon Flying,377,210,227,2%,1%,,
0385,Jirachi,Steel Psychic,210,210,225,100%,0%,"Charge Beam, Confusion","Dazzling Gleam, Doom Desire, Psychic"
0386,Deoxys Normal Forme,Psychic,345,115,137,2%,1%,"Charge Beam, Zen Headbutt","Hyper Beam, Psycho Boost, Zap Cannon"
0386,Deoxys Attack Forme,Psychic,414,46,137,2%,1%,"Poison Jab, Zen Headbutt","Dark Pulse, Psycho Boost, Zap Cannon"
0386,Deoxys Defense Forme,Psychic,144,330,137,2%,1%,"Counter, Zen Headbutt","Psycho Boost, Rock Slide, Thunderbolt"
0386,Deoxys Speed Forme,Psychic,230,218,137,2%,1%,"Charge Beam, Zen Headbutt","Psycho Boost, Swift, Thunderbolt"
0387,Turtwig,Grass,119,110,146,20%,10%,"Razor Leaf, Tackle","Body Slam, Energy Ball, Seed Bomb, Frustration (Shadow), Return (Purified)"
0388,Grotle,Grass,157,143,181,10%,7%,"Bite, Razor Leaf","Body Slam, Energy Ball, Solar Beam, Frustration (Shadow), Return (Purified)"
0389,Torterra,Grass Ground,202,188,216,5%,5%,"Bite, Razor Leaf","Earthquake, Sand Tomb, Solar Beam, Stone Edge, Frenzy Plant (Community Day), Frustration (Shadow), Return (Purified)"
0390,Chimchar,Fire,113,86,127,20%,10%,"Ember, Scratch","Flame Charge, Flame Wheel, Flamethrower, Frustration (Shadow), Return (Purified)"
0391,Monferno,Fire Fighting,158,105,162,10%,7%,"Ember, Rock Smash","Flame Wheel, Flamethrower, Low Sweep, Frustration (Shadow), Return (Purified)"
0392,Infernape,Fire Fighting,222,151,183,5%,5%,"Fire Spin, Rock Smash","Close Combat, Flamethrower, Solar Beam, Blast Burn (Community Day), Frustration (Shadow), Return (Purified)"
0393,Piplup,Water,112,102,142,20%,10%,"Bubble, Pound","Bubble Beam, Drill Peck, Icy Wind"
0394,Prinplup,Water,150,139,162,10%,7%,"Bubble, Metal Claw","Bubble Beam, Hydro Pump, Icy Wind"
0395,Empoleon,Water Steel,210,186,197,5%,5%,"Metal Claw, Waterfall","Blizzard, Drill Peck, Flash Cannon, Hydro Pump, Hydro Cannon (Community Day)"
0396,Starly,Normal Flying,101,58,120,50%,20%,"Quick Attack, Tackle","Aerial Ace, Brave Bird, Frustration (Shadow), Return (Purified)"
0397,Staravia,Normal Flying,142,94,146,25%,9%,"Quick Attack, Wing Attack","Aerial Ace, Brave Bird, Heat Wave, Frustration (Shadow), Return (Purified)"
0398,Staraptor,Normal Flying,234,140,198,12.5%,6%,"Quick Attack, Wing Attack, Gust (Community Day)","Brave Bird, Close Combat, Heat Wave, Frustration (Shadow), Return (Purified)"
0399,Bidoof,Normal,80,73,153,50%,20%,"Tackle, Take Down","Crunch, Grass Knot, Hyper Fang, Ice Beam (legacy), Shadow Ball (legacy), Superpower (legacy), Thunderbolt (legacy), Frustration (Shadow), Return (Purified)"
0400,Bibarel,Normal Water,162,119,188,20%,7%,"Take Down, Water Gun","Hyper Beam, Hyper Fang, Surf, Frustration (Shadow), Return (Purified)"
0401,Kricketot,Bug,45,74,114,50%,20%,"Bug Bite, Struggle Bug",Struggle
0402,Kricketune,Bug,160,100,184,20%,7%,"Fury Cutter, Struggle Bug","Aerial Ace, Bug Buzz, X-Scissor"
0403,Shinx,Electric,117,64,128,50%,10%,"Spark, Tackle","Discharge, Swift, Thunderbolt, Frustration (Shadow), Return (Purified)"
0404,Luxio,Electric,159,95,155,25%,7%,"Bite, Spark","Crunch, Thunderbolt, Wild Charge, Frustration (Shadow), Return (Purified)"
0405,Luxray,Electric,232,156,190,12.5%,5%,"Hidden Power, Snarl, Spark","Crunch, Hyper Beam, Wild Charge, Psychic Fangs (Community Day), Frustration (Shadow), Return (Purified)"
0406,Budew,Grass Poison,91,109,120,10%,4%,"Hidden Power, Razor Leaf","Energy Ball, Grass Knot"
0407,Roserade,Grass Poison,243,185,155,15%,7%,"Magical Leaf, Poison Jab, Razor Leaf, Bullet Seed (Community Day)","Dazzling Gleam, Grass Knot, Leaf Storm, Sludge Bomb, Solar Beam, Weather Ball - Fire (Community Day)"
0408,Cranidos,Rock,218,71,167,50%,10%,"Take Down, Zen Headbutt","Ancient Power, Bulldoze, Rock Tomb, Frustration (Shadow), Return (Purified)"
0409,Rampardos,Rock,295,109,219,20%,6%,"Smack Down, Zen Headbutt","Flamethrower, Outrage, Rock Slide, Frustration (Shadow), Return (Purified)"
0410,Shieldon,Rock Steel,76,195,102,50%,10%,"Iron Tail, Tackle","Ancient Power, Heavy Slam, Rock Tomb, Frustration (Shadow), Return (Purified)"
0411,Bastiodon,Rock Steel,94,286,155,20%,6%,"Iron Tail, Smack Down","Flamethrower, Flash Cannon, Stone Edge, Frustration (Shadow), Return (Purified)"
0412,Burmy Plant Cloak,Bug,53,83,120,50%,20%,"Bug Bite, Tackle",Struggle
0412,Burmy Sandy Cloak,Bug,53,83,120,50%,0%,"Bug Bite, Tackle",Struggle
0412,Burmy Trash Cloak,Bug,53,83,120,50%,0%,"Bug Bite, Tackle",Struggle
0413,Wormadam Plant Cloak,Bug Grass,141,180,155,15%,7%,"Bug Bite, Confusion","Bug Buzz, Energy Ball, Psybeam"
0413,Wormadam Sandy Cloak,Bug Ground,141,180,155,15%,7%,"Bug Bite, Confusion","Bug Buzz, Bulldoze, Psybeam"
0413,Wormadam Trash Cloak,Bug Steel,127,175,155,15%,7%,"Bug Bite, Confusion","Bug Buzz, Iron Head, Psybeam"
0414,Mothim,Bug Flying,185,98,172,15%,7%,"Air Slash, Bug Bite","Aerial Ace, Bug Buzz, Psybeam"
0415,Combee,Bug Flying,59,83,102,15%,7%,Bug Bite,Bug Buzz
0416,Vespiquen,Bug Flying,149,190,172,15%,7%,"Air Slash, Bug Bite, Fury Cutter, Poison Sting","Bug Buzz, Fell Stinger, Power Gem, Signal Beam, X-Scissor"
0417,Pachirisu,Electric,94,172,155,30%,9%,"Spark, Volt Switch","Thunder, Thunder Punch, Thunderbolt"
0418,Buizel,Water,132,67,146,50%,10%,"Quick Attack, Water Gun","Aqua Jet, Swift, Water Pulse"
0419,Floatzel,Water,221,114,198,20%,6%,"Water Gun, Waterfall","Aqua Jet, Hydro Pump, Liquidation, Swift"
0420,Cherubi,Grass,108,92,128,50%,9%,"Bullet Seed, Tackle","Dazzling Gleam, Petal Blizzard, Seed Bomb"
0421,Cherrim Overcast Form,Grass,170,153,172,10%,7%,"Bullet Seed, Razor Leaf","Dazzling Gleam, Hyper Beam, Solar Beam"
0421,Cherrim Sunshine Form,Grass,170,153,172,10%,7%,"Bullet Seed, Razor Leaf","Dazzling Gleam, Hyper Beam, Solar Beam, Weather Ball - Fire"
0422,Shellos East Sea,Water,103,105,183,50%,10%,"Hidden Power, Mud-Slap","Body Slam, Mud Bomb, Water Pulse"
0422,Shellos West Sea,Water,103,105,183,50%,0%,"Hidden Power, Mud-Slap","Body Slam, Mud Bomb, Water Pulse"
0423,Gastrodon East Sea,Water Ground,169,143,244,20%,6%,"Hidden Power, Mud-Slap","Body Slam, Earth Power, Water Pulse"
0423,Gastrodon West Sea,Water Ground,169,143,244,20%,0%,"Hidden Power, Mud-Slap","Body Slam, Earth Power, Water Pulse"
0424,Ambipom,Normal,205,143,181,20%,6%,"Astonish, Scratch","Aerial Ace, Hyper Beam, Low Sweep, Frustration (Shadow), Return (Purified)"
0425,Drifloon,Ghost Flying,117,80,207,40%,10%,"Astonish, Hex","Icy Wind, Ominous Wind, Shadow Ball, Frustration (Shadow), Return (Purified)"
0426,Drifblim,Ghost Flying,180,102,312,20%,7%,"Astonish, Hex","Icy Wind, Mystical Fire, Ominous Wind, Shadow Ball, Frustration (Shadow), Return (Purified)"
0427,Buneary,Normal,130,105,146,50%,10%,"Pound, Quick Attack","Fire Punch, Swift"
0428,Lopunny,Normal,156,194,163,20%,6%,"Double Kick, Low Kick, Pound","Fire Punch, Focus Blast, Hyper Beam, Triple Axel"
0428,Lopunny Mega Lopunny,Normal Fighting,282,214,163,20%,6%,,
